id,name,nationality,role,basePrice,matches,runs,wickets,avg,sr,econ,age,battingStyle,bowlingStyle,imageUrl,set
1,Virat Kohli,India,BAT,20000000,177,1712,4,38.71,120.66,7.42,30,Right-hand bat,None,,Marquee
2,Rohit Sharma,India,BAT,20000000,142,3382,3,41.12,141.86,8.74,32,Right-hand bat,None,,Marquee
3,Jasprit Bumrah,India,BOWL,20000000,30,26,50,13.99,106.63,9.35,33,Left-hand bat,None,,Marquee
4,Ravindra Jadeja,India,AR,20000000,188,2019,48,22.71,138.82,7.51,24,Right-hand bat,Right-arm legbreak,,Marquee
5,Hardik Pandya,India,AR,20000000,31,2346,33,24.47,146.28,8.87,19,Right-hand bat,Right-arm medium,,Marquee
6,Suryakumar Yadav,India,BAT,20000000,119,1612,5,20.86,156.59,10.46,38,Left-hand bat,Left-arm medium,,Marquee
7,Rishabh Pant,India,WK,20000000,73,4393,2,48.96,121.54,8.33,37,Left-hand bat,None,,Marquee
8,Shreyas Iyer,India,BAT,20000000,95,2642,1,24.43,148.16,8.5,23,Right-hand bat,Right-arm fast,,Marquee
9,KL Rahul,India,WK,20000000,157,1370,5,31.92,158.15,8.06,35,Right-hand bat,None,,Marquee
10,Mohammed Shami,India,BOWL,20000000,175,110,174,13.26,102.17,7.54,33,Left-hand bat,Right-arm fast,,Marquee
11,Pat Cummins,Australia,AR,20000000,119,1404,84,33.2,133.38,7.72,33,Right-hand bat,Left-arm fast,,Marquee
12,Mitchell Starc,Australia,BOWL,20000000,127,61,153,5.64,108.89,7.6,24,Left-hand bat,Right-arm medium,,Marquee
13,Travis Head,Australia,BAT,20000000,195,5745,2,38.54,140.85,10.31,38,Left-hand bat,None,,Marquee
14,Ben Stokes,England,AR,20000000,185,2349,32,29.58,130.99,8.43,24,Right-hand bat,Left-arm fast,,Marquee
15,Jos Buttler,England,WK,20000000,74,3146,5,27.12,125.45,9.57,38,Left-hand bat,None,,Marquee
16,Rashid Khan,Afghanistan,BOWL,20000000,68,390,129,6.89,93.02,8.66,35,Left-hand bat,Left-arm chinaman,,Marquee
17,Andre Russell,West Indies,AR,20000000,16,2143,34,26.17,143.41,7.85,25,Left-hand bat,Left-arm chinaman,,Marquee
18,Sunil Narine,West Indies,AR,20000000,68,1908,40,32.31,136.83,8.33,19,Left-hand bat,Right-arm medium,,Marquee
19,Glenn Maxwell,Australia,AR,20000000,42,2176,67,29.44,136.69,7.74,31,Right-hand bat,Left-arm fast,,Marquee
20,David Warner,Australia,BAT,20000000,11,3924,1,43.5,155.86,9.17,20,Right-hand bat,Left-arm medium,,Marquee
21,Shubman Gill,India,BAT,20000000,96,1588,1,45.31,121.11,9.41,35,Right-hand bat,Right-arm fast,,Batters 1
22,Yashasvi Jaiswal,India,BAT,20000000,56,1825,2,38.25,138.99,10.9,28,Right-hand bat,None,,Batters 1
23,Ruturaj Gaikwad,India,BAT,15000000,151,3734,5,36.29,121.42,7.06,32,Right-hand bat,Slow left-arm orthodox,,Batters 1
24,Faf du Plessis,South Africa,BAT,20000000,80,4275,5,33.95,125.54,7.61,25,Left-hand bat,None,,Batters 1
25,Kane Williamson,New Zealand,BAT,20000000,49,501,2,39.44,135.26,7.42,27,Left-hand bat,Right-arm offbreak,,Batters 1
26,Steve Smith,Australia,BAT,20000000,176,1971,0,24.47,138.71,0,29,Right-hand bat,None,,Batters 1
27,Rinku Singh,India,BAT,10000000,172,2914,1,38.78,120.19,7.18,36,Left-hand bat,None,,Batters 1
28,Shimron Hetmyer,West Indies,BAT,15000000,62,3820,1,47.97,147.22,8.57,21,Right-hand bat,Right-arm legbreak,,Batters 1
29,David Miller,South Africa,BAT,15000000,143,1048,5,42.82,150.91,10.99,24,Left-hand bat,Left-arm fast,,Batters 1
30,Tilak Varma,India,BAT,10000000,195,2388,2,39.45,123.24,8.13,22,Left-hand bat,None,,Batters 1
31,Cameron Green,Australia,AR,20000000,84,972,42,31.5,148.92,8.04,29,Right-hand bat,Left-arm chinaman,,All-Rounders 1
32,Sam Curran,England,AR,20000000,64,2514,81,25.35,135.98,8.44,38,Right-hand bat,Left-arm medium,,All-Rounders 1
33,Liam Livingstone,England,AR,15000000,90,693,37,23.13,137.2,7.73,30,Right-hand bat,Slow left-arm orthodox,,All-Rounders 1
34,Axar Patel,India,AR,15000000,93,2494,43,24.62,141.76,8.06,23,Right-hand bat,Left-arm medium,,All-Rounders 1
35,Marcus Stoinis,Australia,AR,15000000,191,2980,49,29.1,147.45,7.76,26,Right-hand bat,Slow left-arm orthodox,,All-Rounders 1
36,Moeen Ali,England,AR,15000000,184,1383,60,32.72,143.61,9.31,35,Left-hand bat,Right-arm legbreak,,All-Rounders 1
37,Mitchell Marsh,Australia,AR,15000000,198,877,42,23.31,144.5,8.04,32,Left-hand bat,Right-arm fast,,All-Rounders 1
38,Shivam Dube,India,AR,10000000,18,2341,77,32.68,136.03,8.99,34,Right-hand bat,None,,All-Rounders 1
39,Washington Sundar,India,AR,10000000,22,1282,95,31.46,132.87,8.76,37,Left-hand bat,Right-arm fast,,All-Rounders 1
40,Rachin Ravindra,New Zealand,AR,10000000,127,1946,60,34.39,149.95,8.58,38,Right-hand bat,Left-arm medium,,All-Rounders 1
41,Sanju Samson,India,WK,15000000,168,1408,5,25.65,158.33,10.44,19,Left-hand bat,None,,Wicketkeepers 1
42,MS Dhoni,India,WK,20000000,137,729,4,37.14,139.8,10.15,19,Left-hand bat,None,,Wicketkeepers 1
43,Ishan Kishan,India,WK,15000000,17,4842,0,21.51,148.26,0,28,Left-hand bat,None,,Wicketkeepers 1
44,Quinton de Kock,South Africa,WK,20000000,101,4607,1,39.7,134.44,8.09,22,Left-hand bat,None,,Wicketkeepers 1
45,Nicholas Pooran,West Indies,WK,20000000,191,3469,2,40.51,149.84,7.9,24,Left-hand bat,None,,Wicketkeepers 1
46,Jonny Bairstow,England,WK,15000000,86,5172,5,34.61,158.38,10,32,Left-hand bat,None,,Wicketkeepers 1
47,Heinrich Klaasen,South Africa,WK,20000000,63,2544,2,29.33,139.62,7.79,24,Left-hand bat,None,,Wicketkeepers 1
48,Phil Salt,England,WK,15000000,44,4114,5,27.16,122.74,9,23,Left-hand bat,None,,Wicketkeepers 1
49,Jitesh Sharma,India,WK,5000000,121,4893,4,38.06,125.9,10.46,36,Left-hand bat,None,,Wicketkeepers 1
